episode,total_score,max_tile,num_moves,valid_moves,invalid_moves,wall_clock_seconds,training_steps
155,2452,256,241,241,0,12.796937,21795
156,1408,128,186,186,0,12.933476,21981
157,1036,64,155,155,0,13.04308,22136
158,532,64,99,99,0,13.112673,22235
159,328,32,69,69,0,13.160378,22304
160,1380,128,168,168,0,13.28129,22472
161,1556,128,244,244,0,13.461204,22716
162,436,64,71,71,0,13.510606,22787
163,624,64,96,96,0,13.575707,22883
164,612,64,104,104,0,13.650626,22987
165,1396,128,171,171,0,13.774799,23158
166,2300,256,237,237,0,13.945359,23395
167,1212,128,159,159,0,14.054461,23554
168,248,32,61,61,0,14.098278,23615
169,1148,128,155,155,0,14.213468,23770
170,1020,128,125,125,0,14.298853,23895
171,584,64,105,105,0,14.37401,24000
172,1460,128,178,178,0,14.501896,24178
173,592,64,97,97,0,14.572349,24275
174,1292,128,152,152,0,14.682049,24427
175,1420,128,182,182,0,14.816077,24609
176,616,64,101,101,0,14.887143,24710
177,1268,128,189,189,0,15.020448,24899
178,1380,128,176,176,0,15.152508,25075
179,564,64,107,107,0,15.245637,25182
180,1044,64,156,156,0,15.36596,25338
181,552,32,125,125,0,15.458764,25463
182,704,64,112,112,0,15.538915,25575
183,584,64,97,97,0,15.607618,25672
184,2648,256,288,288,0,15.814502,25960
185,1284,128,180,180,0,15.944835,26140
186,1388,128,184,184,0,16.072872,26324
187,660,64,99,99,0,16.141905,26423
188,1244,128,151,151,0,16.239516,26574
189,1264,128,174,174,0,16.35488,26748
190,624,64,101,101,0,16.426338,26849
191,1396,128,173,173,0,16.53805,27022
192,684,64,101,101,0,16.602099,27123
193,1304,128,161,161,0,16.705704,27284
194,1276,128,174,174,0,16.824311,27458
195,540,64,109,109,0,16.899965,27567
196,1360,128,175,175,0,17.020286,27742
197,2320,256,244,244,0,17.180646,27986
198,1200,128,156,156,0,17.285013,28142
199,1164,128,161,161,0,17.39974,28303
200,568,64,114,114,0,17.480758,28417
201,708,64,112,112,0,17.557581,28529
202,1384,128,174,174,0,17.674473,28703
203,976,128,132,132,0,17.760109,28835
204,1204,128,162,162,0,17.870613,28997
205,652,64,113,113,0,17.951916,29110
206,540,64,103,103,0,18.023221,29213
207,468,32,95,95,0,18.087708,29308
208,1300,128,179,179,0,18.212184,29487
209,596,64,94,94,0,18.273918,29581
210,1120,128,143,143,0,18.366874,29724
211,476,64,84,84,0,18.423354,29808
212,1400,128,186,186,0,18.557633,29994
213,988,128,118,118,0,18.637219,30112
214,740,64,121,121,0,18.720748,30233
215,644,64,118,118,0,18.801208,30351
216,740,64,105,105,0,18.874401,30456
217,1456,128,179,179,0,19.000146,30635
218,648,64,105,105,0,19.070435,30740
219,1300,128,168,168,0,19.1913,30908
220,712,64,115,115,0,19.272014,31023
221,1684,128,208,208,0,19.41583,31231
222,1108,128,153,153,0,19.523004,31384
223,1464,128,205,205,0,19.667946,31589
224,1292,128,157,157,0,19.778446,31746
225,780,64,137,137,0,19.872692,31883
226,1440,128,199,199,0,20.018823,32082
227,1088,128,168,168,0,20.140538,32250
228,1396,128,184,184,0,20.271861,32434
229,1400,128,170,170,0,20.394505,32604
230,560,64,118,118,0,20.480791,32722
231,616,64,103,103,0,20.552126,32825
232,812,64,122,122,0,20.632114,32947
233,2032,128,246,246,0,20.807374,33193
234,716,64,125,125,0,20.900419,33318
235,1424,128,195,195,0,21.041718,33513
236,604,64,109,109,0,21.116972,33622
237,620,64,120,120,0,21.198614,33742
238,784,64,124,124,0,21.280865,33866
239,1016,128,162,162,0,21.402711,34028
240,444,64,81,81,0,21.465804,34109
241,1188,128,176,176,0,21.610004,34285
242,820,64,118,118,0,21.732543,34403
